"img-fit-cover src","entity_localized_name","anime_tag","anime_tag 2","anime_tag 3","anime_summary","anime_story","steam-site-name","steam-site-name 2","steam-site-name 3","steam-site-name 4","steam-site-name 5","scormem-item","scormem-item 2","image_path"
"https://static.acgsecrets.hk/img/dc/dcb6f093774d4d45a936e8e97f0401aa/98477556d5c8516a6a69f5be7816b2707d8d7210e10cc832399923a4b1727763.jpg","末日後酒店","","","","其他名稱：末世旅館、啟示錄飯店、APOCALYPSE HOTEL、Apocalypse Hotel、末日后酒店、末世旅馆、启示录饭店","人類消失後，地球上又度過了漫長的歲月。位於日本首都・東京銀座的飯店『銀河楼』裡，飯店服務機器人ヤチヨ與員工機器人們，一直等待著主人歸來，以及再次迎接人類客人的時刻。然而——睽違百年後到訪的客人，竟然是來自地球外的生命體。接連造訪的他們，究竟是為了住宿、侵略，抑或另有其他目的……？現在，ヤチヨ等人將賭上『銀河楼』的尊嚴，展開盛情款待――","Crunchyroll","Crunchyroll","Bilibili","","","8.03","55K","anime_data/images/末日後酒店.jpg"
"https://static.acgsecrets.hk/img/75/75347f56381b1dd8b444683d22e0398a/0138fb4b73acbf6c7a9a4fb9d54ceb87d1eafebd94ef4a196742fb1dc9b0bba0.jpg","鄉下大叔成為劍聖","動作","冒險","奇幻","其他名稱：鄉裡別大叔劍聖、Katainaka no Ossan, Kensei ni Naru、From Old Country Bumpkin to Master Swordsman、乡下大叔成为剑圣、乡里别大叔剑圣","「我推薦貝利爾師傅出馬擔任附屬於騎士團的特別教官。」在鄉下某座村莊，以經營劍術道場勉強維生的男子──貝利爾．格德南特。某一天，年輕的王國騎士團長，同時也是他以前指導過的弟子．亞琉希雅前來拜訪，接著他就莫名成了附屬於騎士團的特別教官，且必須立刻啟程前往王都──！與成了大器的弟子們重逢，被拱成教官的貝利爾命運會是如何呢？","Amazon Prime Video","Amazon Prime Video","Bilibili","","","7.0","153K","anime_data/images/鄉下大叔成為劍聖.jpg"
"https://static.acgsecrets.hk/img/90/9094450b418401687baba1a751af5bbd/9acb048ec243dec37c8bf97ada1b68e7258ef891f5b023d322a08c2eef7b1b4a.jpg","男女之間存在純友情嗎？（不，不存在！）","喜劇","浪漫","","其他名稱：男女の友情は成立する？（いや、しないっ!!）、Danjo no Yuujou wa Seiritsu suru? (Iya, Shinai!!)、Can Friendship Between Men and Women Exist? (No, it doesn't!)、男女之间存在纯友情吗？ （不，不存在！）","在某一所鄉村國中，一對男女向彼此立下永恆友情的誓言。朝著同一個夢想前進，成為命運共同體的兩人之間──關係並沒有任何特別的發展，就這麼度過了兩年的歲月……！至今都還沒談過初戀的High咖女子──犬塚日葵，以及熱愛花卉的植物男子──夏目悠宇，就算升上高中二年級，還是一樣在只有兩人的園藝社中，平和地當著摯友。然而這時，悠宇跟初戀對象重逢，使得兩人之間的關係開始失控？究竟「已經懂得戀慕之心」的日葵，能不能擺脫「理想摯友」的身分呢？","巴哈姆特動畫瘋","Ani-One YouTube","myTV SUPER","巴哈姆特動畫瘋","Ani-One YouTube","6.59","131K","anime_data/images/男女之間存在純友情嗎？（不，不存在！）.jpg"
"https://static.acgsecrets.hk/img/b3/b3dea8f1b4f5e5947f274a039b981bc9/5059ac3bbd79988881ccc47edc8af567c0c0cc23e4f1a15bbfd05bebe0ddf243.jpg","持續狩獵史萊姆三百年，不知不覺就練到 LV MAX 第二季","喜劇","奇幻","日常","其他名稱：打了300年的史莱姆，不知不觉就练到了满级 第二季、Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita ~Sono ni~、I've Been Killing Slimes for 300 Years and Maxed Out My Level Season 2、持续狩猎史莱姆三百年，不知不觉就练到 LV MAX 第二季","持續狩獵史萊姆三百年──居然決定要參加聯誼派對!?明明在娜塔莉小姐的懇求（強迫）下，不情願地參加，不知為何「女兒們」卻要舉辦結婚典禮──!?另外還有萊卡參加武術大賽（職業：史萊姆使者），以及前往哈爾卡拉的故鄉（原來那對大胸部是遺傳）。此外，雖然是高原生活，不過這次還能享受在南方的度假慢活喔!!","巴哈姆特動畫瘋","木棉花YouTube","巴哈姆特動畫瘋","木棉花YouTube","Bilibili","6.69","115K","anime_data/images/持續狩獵史萊姆三百年，不知不覺就練到 LV MAX 第二季.jpg"
"https://static.acgsecrets.hk/img/93/93231e45f547fda9a2e8fce1ba55e93c/640356ad9e03cea2523a8c43f6fed6ff13e9c19b2caf082ab19fc98179fbbe67.jpg","記憶縫線 YOUR FORMA","神秘","科幻","","其他名稱：YOUR FORMA、Your Forma、记忆缝线 YOUR FORMA","腦部用縫線──通稱〈YOUR FORMA〉。在病毒性腦炎大流行當中拯救人們的醫療技術進化為日常生活中不可或缺的資訊終端機。縫線記錄著一切，視覺、聽覺，甚至是情緒。潛入這些紀錄當中，搜索解決重大案件的蛛絲馬跡，這就是電索官埃緹卡的工作。埃緹卡這次被分派到的新搭檔哈羅德是人形機器人〈阿米客思〉。埃緹卡因為過去的心靈創傷而嫌棄阿米客思，哈羅德卻不以為意地拉近距離。稀世的互補搭檔對抗危害世界的電子犯罪！","Bilibili","Bilibili","巴哈姆特動畫瘋","Bilibili","","6.25","40K","anime_data/images/記憶縫線 YOUR FORMA.jpg"
"https://static.acgsecrets.hk/img/89/892af9228c74d9feb185c77b7a3daa9d/eaea84184f6eb396c85cc32d1e6fb9c2dde372d66b414b0f0c3b1da84c7e0a53.jpg","WITCH WATCH 魔女守護者","喜劇","超自然","","其他名稱：魔女与使魔、WITCH WATCH、Witch Watch、WITCH WATCH 魔女守护者、魔女與使魔","高中生乙木守仁是鬼族的後裔，擁有強大的力量，有一天守仁的父親告訴他，因為鬼族有使魔的血統，所以守仁必須擔任魔女若月妮可的使魔。妮可是守仁的兒時玩伴，後來到魔女的聖地修行，在數年後妮可回到了鎮上，她要求守仁當她的使魔，其實妮可喜歡著守仁…不過根據魔女的預言，有黑魔女盯上了妮可，而守仁就想盡辦法要保護她…","巴哈姆特動畫瘋","回歸線YouTube","愛奇藝","Netflix","巴哈姆特動畫瘋","7.34","167K","anime_data/images/WITCH WATCH 魔女守護者.jpg"
"https://static.acgsecrets.hk/img/51/51b635a3090a644fa25c9ff6a20a7f4c/28224d27c9eb190c11f5376c180c6a17d981df954c97def3799a6596f45cb53c.jpg","直至魔女消逝","動作","戲劇","奇幻","其他名稱：Aru Majo ga Shinu Made、Once Upon a Witch's Death、Until the Witch Dies","「妳再過一年就要死了，因為詛咒。」「啥？」見習魔女梅格，在十七歲的生日，從師父永年魔女浮士德那裡收到了餘命宣告。想要解除詛咒，唯有收集一千滴人的喜悅之淚，做出「生命種子」這個辦法。梅格為了收集眼淚，敞開自己原先封閉的世界，和許多人產生連結。相遇、分離、友情、愛情──還有，眼淚。在收下了許多念想，訂下約定的未來，梅格學習到作為魔女最重要的事，並逐漸察覺師父想要傳遞給自己的事物面貌。「我還完全沒能向師父報恩呢，所以──」明亮、愉快，又有些悲傷。由魔女師徒述說的一年間的故事。","Crunchyroll","Crunchyroll","","","","7.35","50K","anime_data/images/直至魔女消逝.jpg"
"https://static.acgsecrets.hk/img/91/915f413bb253bf7224ec83581d1b48c4/a71628499701f71719b6c5368de42c1d930b601b7e4411fc923cfa41ed1a0c2f.jpg","忍者與殺手的兩人生活","日常","","","其他名稱：忍者×殺手二人組的日常生活、Ninja to Koroshiya no Futarigurashi、忍者×杀手二人组的日常生活、忍者与杀手的两人生活","從忍者之里逃跑的女忍者さとこ，在街上倒地不起之時，正好被路過的女高中生このは救下。  然而好景不長，さとこ很快就被來自忍者之里的追兵發現。但このは卻輕而易舉地擊退了那些追兵。 ……沒想到她的真實身分竟然是殺手！對世事一無所知的女忍者與殺手女高中生之間，危險的共同生活就此展開！","巴哈姆特動畫瘋","巴哈姆特動畫瘋","","","","7.61","50K","anime_data/images/忍者與殺手的兩人生活.jpg"
"https://static.acgsecrets.hk/img/27/27a65974a9c463072108ae6476e25b47/258bf2e2427990d6c627f57cc007d1f7ef840076df1f0aee1fdcd2f8bbaa85d2.jpg","Summer Pockets","日常","","","其他名稱：Summer Pockets、夏日口袋、Samapoke","為了整理外婆的遺物，主角鷹原羽依里在暑假獨自來到了鳥白島。走下一天只有幾趟的渡輪，他遇見了一位少女。她任憑海風吹拂著髮絲，只是眺望著那水天相接的邊境。回過神來，那位少女不知已經去何方。羽依裡似乎有些悵然若失，但他還是向外婆家走去。有一位羽依里的小姨住在外婆家，她已經開始在那裡整理遺物了。羽依裡幫忙整理著充滿著外婆回憶的遺物時，也逐漸適應了初來乍到時讓他無所適從的「島上的生活」。在都市生活中無法體會到的，與大自然的邂逅。這樣的島上生活，能讓他想起曾經遺忘的，值得懷念的點點滴滴。與眺望大海的少女相遇。與追尋奇幻蝴蝶的少女相遇。與尋找回憶和海盜船的少女相遇。與住在寧靜燈塔的少女相遇。在島上結識了新夥伴—曾經想著，如果這個暑假永遠不會結束就好了。","巴哈姆特動畫瘋","回歸線YouTube","巴哈姆特動畫瘋","回歸線YouTube","Bilibili","7.28","66K","anime_data/images/Summer Pockets.jpg"
"https://static.acgsecrets.hk/img/c6/c64ad3429c603f51f742bc018325f5e1/09df97c87acd775dd2fabb8d0bb1220ebe41933413f1300d8cf6df1638f1a38b.jpg","隨興旅－That's Journey－","冒險","日常","","其他名稱：Zatsu Tabi -That's Journey-、Zatsu Tabi: That's Journey、随兴旅－That's Journey－","期盼成為漫畫家的大學生－－鈴森千花，雖然獲得新人獎，卻為了遲遲無法獲得連載機會而苦惱。於是，她萌生了「好想去旅行」的念頭，並且在社群網站上隨性地舉辦了旅行地點的票選活動，沒想到投票人數多到超乎想像，搞得自己下不了台階！這故事是描述對地理和歷史都茫茫然的千花，進行毫無計畫的隨性之旅，以及旅途中意想不到的邂逅……","巴哈姆特動畫瘋","巴哈姆特動畫瘋","","","","6.92","35K","anime_data/images/隨興旅－That's Journey－.jpg"
"https://static.acgsecrets.hk/img/87/87c71cfdc252671f75ec980d51d4d321/92c24d35136bc9c9b7ab1dda558f765a79553ec5cdaf5f9f079a6764b75962c5.jpg","瞬間治癒卻被當成廢物踢出隊伍的天才治療師，改當無照治療師快樂過活","奇幻","","","其他名稱：天才治療師退隊作為無照治療師快樂生活、Isshun de Chiryou shiteita noni Yakutatazu to Tsuihou sareta Tensai Chiyushi, Yami Healer toshite Tanoshiku Ikiru、The Brilliant Healer's New Life in the Shadows、天才治疗师退队作为无照治疗师快乐生活、瞬间治愈却被当成废物踢出队伍的天才治疗师，改当无照治疗师快乐过活","「你最近什麼都沒做吧，老實說，我們已經不需要你了。」被冒險者隊伍稱為累贅，只給了一枚金幣作為分手費就被驅逐的治癒師青年ゼノス。出生於貧民，使用自學的治癒魔法的ゼノス連治癒師執照都沒有。失去了去處的ゼノス漫無目的地走在小巷時，遇到了腹部被刺、瀕死的精靈少女リリ。「沒事的，這點程度還能救。」「……咦？不痛了，而且傷口也沒了。為什麼恢復原樣了！？」以在貧民窟邊緣的廢墟街悄然開業的治療院為舞台，無執照天才治癒師的無自覺最強奇幻故事開始了——。","巴哈姆特動畫瘋","Ani-One YouTube","Netflix","巴哈姆特動畫瘋","Ani-One YouTube","6.85","130K","anime_data/images/瞬間治癒卻被當成廢物踢出隊伍的天才治療師，改當無照治療師快樂過活.jpg"
"https://static.acgsecrets.hk/img/fa/fab31eeee167af83cd9933f9ee6b80de/c9ed3f584b7d2999e82ca8defa7794e723c32c1c96810ef54a99e98fdfc636ae.jpg","終末起點","戲劇","奇幻","魔法","其他名稱：最強の王様、二度目の人生は何をする？、三歲開始做王者、最強王者的第二人生、Saikyou no Ousama, Nidome no Jinsei wa Nani o Suru? Season1、The Beginning After the End Season1、最强王者的第二人生、三岁开始做王者、终末起点","擁有獨樹一幟力量的戰爭之神——格雷。某一天，他一如往常地進入夢鄉，醒來後卻來到了充滿各種魔法和怪物的新世界，轉生成一位叫做「亞瑟」的孩子。無法追查上輩子死亡的真相，但比起活在過去，他不斷努力適應這全新的生活。隨著年齡的增長，亞瑟的能力也漸漸覺醒，並開啟了與新夥伴的冒險...!","Bilibili","巴哈姆特動畫瘋","愛奇藝","Netflix","Bilibili","6.17","154K","anime_data/images/終末起點.jpg"
"https://static.acgsecrets.hk/img/e1/e1c45b148d99bafaea53c0d411eab39d/b746b54531c28b0250c2b911dc333a6f577af2bc72b1e9f9b514965708e03b4e.jpg","完美到難以接近的聖女遭到解除婚約後被賣到鄰國","奇幻","浪漫","","其他名稱：聖女因太過完美不夠可愛而被廢除婚約並賣到鄰國、Kanpekisugite Kawaige ga Nai to Konyaku Haki sareta Seijo wa Ringoku ni Urareru、The Too-Perfect Saint: Tossed Aside by My Fiancé and Sold to Another Kingdom、圣女因太过完美不够可爱而被废除婚约并卖到邻国、完美到难以接近的圣女遭到解除婚约后被卖到邻国","在這個世界上，存在著負責守護國家、抵禦魔物的『聖女』。出生於ジルトニア王國代代誕生聖女的家族，フィリア自幼接受嚴格的教育，擁有被譽為「歷代最強」的實力，每日勤奮地履行著聖女的職責。然而，她過於完美無缺，反而被周圍的人認為「太過完美而毫不可愛」，遭到未婚夫——第二王子ユリウス解除婚約。不僅如此，她還被自己的國家以金錢與資源為代價，賣給了因缺乏聖女而深受苦難的鄰國パルナコルタ王國，不得不離開故鄉踏上旅途。原本已經做好面對悲慘待遇的心理準備前往鄰國的フィリア，沒想到迎接她的卻是意想不到的熱烈歡迎……！","巴哈姆特動畫瘋","巴哈姆特動畫瘋","","","","7.26","74K","anime_data/images/完美到難以接近的聖女遭到解除婚約後被賣到鄰國.jpg"
"https://static.acgsecrets.hk/img/b1/b125b1383f6ee6363f0583a458c64ac0/99b7f2d332c94ab17293c4b0ce9c2c004867309799c5749011e22722a7c8cfa9.jpg","歲月流逝飯菜依舊美味","","","","其他名稱：時光流逝，飯菜依舊美味、Hibi wa Sugiredo Meshi Umashi、Food for the Soul、时光流逝，饭菜依旧美味、岁月流逝饭菜依旧美味","這是五位剛成為女大學生的女孩們所展開的日常系原創動畫。她們熱愛美食、想和大家一起盡情玩樂，也會稍微努力念書， 一起好好享受大學生活吧！","巴哈姆特動畫瘋","愛奇藝","Crunchyroll","巴哈姆特動畫瘋","愛奇藝","7.76","41K","anime_data/images/歲月流逝飯菜依舊美味.jpg"
"https://static.acgsecrets.hk/img/e1/e19182871cf416a0336802628f3ffe3e/ba128fc2166e9ab3f3fdc720fe6e74378575c6857e0cbb8fc5ae951f14968f2e.jpg","受到猩猩之神庇佑的大小姐受到王立騎士團寵愛","奇幻","浪漫","","其他名稱：Gorilla no Kami kara Kago sareta Reijou wa Ouritsu Kishidan de Kawaigarareru、The Lady Blessed by the Gorilla God Is Adored by the Royal Knights、受到猩猩之神庇佑的大小姐受到王立骑士团宠爱","在這個年滿16歲便能從各種動物神獲得祝福的世界——性格膽小的伯爵千金ソフィア・リーラー，竟意外抽中了被稱為戰鬥系最強的「猩猩之神」。  她一方面為了只想過平穩的學生生活而苦惱，另一方面又因那稀有的力量備受矚目，甚至接到了王立騎士團的見習騎士(従騎士)招募。在無法完全隱藏那壓倒性的力量而令人刮目相看的同時，以同校且年長的見習騎士ルイ・スカーレル為首，許多有望的年輕騎士們也溫柔地守護著ソフィア——由猩猩之力帶來、出乎意料的怦然心動愛情喜劇！","Crunchyroll","Crunchyroll","","","","6.52","56K","anime_data/images/受到猩猩之神庇佑的大小姐受到王立騎士團寵愛.jpg"
"https://static.acgsecrets.hk/img/56/5648e07a1dda7fcaa3b6e52de1040cd3/8a6843c5ca294f9b3d16f69b31cd929258070877decc88ec86cec3c012db5a38.jpg","使人誤解的工房主～關於原英雄隊伍的雜役人員，實際上除了戰鬥能力外全是SSS的故事～","動作","冒險","奇幻","其他名稱：幹雜活我乃最強～關於原英雄隊伍的雜役人員，實際上除了戰鬥能力外全是SSS的故事～、誤解的工房主～英雄小隊的原雜務員，其實戰鬥以外是SSS等級是常有的事～、Kanchigai no Atelier Meister: Eiyuu Party no Moto Zatsuyougakari ga, Jitsu wa Sentou Igai ga SSS Rank Datta to Iu Yoku Aru Hanashi、The Unaware Atelier Master、使人误解的工房主～关于原英雄队伍的杂役人员，实际上除了战斗能力外全是SSS的故事～、干杂活我乃最强～关于原英雄队伍的杂役人员，实际上除了战斗能力外全是SSS的故事～、误解的工房主～英雄小队的原杂务员，其实战斗以外是SSS等级是常有的事～","心地善良、在英雄隊伍中擔任雜務的少年クルト，有一天突然被隊伍趕了出去，理由是「因為你沒用」。而且，還發現他在戰鬥方面的所有適性都是最低等級。為了謀生，クルト開始幫助各種不同的工作。結果，他在所到之處都以難以置信的驚人才能大顯身手！原來クルト在戰鬥以外的所有領域適性都是最高的SSS等級……！然而本人卻完全沒有意識到這一點，誤以為這是「常有的事」。他無意間的行動竟然拯救了人們、城鎮，甚至國家！？被英雄隊伍解僱的少年茫然地踏上了旅程。——這就是這樣一個「常見（？）的故事」。","巴哈姆特動畫瘋","回歸線YouTube","巴哈姆特動畫瘋","回歸線YouTube","","6.44","82K","anime_data/images/使人誤解的工房主～關於原英雄隊伍的雜役人員，實際上除了戰鬥能力外全是SSS的故事～.jpg"
"https://static.acgsecrets.hk/img/0b/0b448369ea81217d59a08bc7563608c5/44130df0582e2dfeea9f86670717ed74e7442587943e4d11c109f8829e566fa8.jpg","Princess-session Orchestra","動作","奇幻","","其他名稱：Princession Orchestra、PRINCESS-SESSION ORCHESTRA","被稱呼為「アリスピア」的神秘國度，自遙遠的過去就存在於世界的某處。那裡居住著一群熱愛歡樂的居民「アリスピアン」，但不知何時開始，神秘的怪物「ジャマオック」開始出現，原本平靜祥和的アリスピア逐漸受到威脅。再這樣下去，アリスピア的燦爛光輝就會消失——。這是一個描繪著即使面臨這樣的危機，內心始終不忘歌唱的『Princess』們冒險旅程的故事。充滿勇氣和活力的，流行歌幻想曲——Princess-session Orchestra！","","","","","","6.59","6.1K","anime_data/images/Princess-session Orchestra.jpg"
