"img-fit-cover src","entity_localized_name","anime_tag","anime_tag 2","anime_tag 3","anime_summary","anime_story","steam-site-name","steam-site-name 2","steam-site-name 3","steam-site-name 4","scormem-item","scormem-item 2","image_path"
"https://static.acgsecrets.hk/img/ff/ff21261fa886c4b64d3704e3ebcf352d/11f95f68776a52ba777a6842d47f66dfea4bed15af6e3f006ac3b422c9daa898.jpg","平凡職業造就世界最強 第三季","動作","冒險","奇幻","其他名稱：Arifureta Shokugyou de Sekai Saikyou 3rd Season、From Common Job Class to the Strongest in the World 3rd Season、平凡职业造就世界最强 第三季","結束神山之戰後，始一行人伴隨莉莉安娜等人，搭乘飛空艇『佛爾尼爾』前往帝都。這時，同行的光輝心中有個煩惱──為什麼始那麼強，卻不『正確地』使用力量？半途，始遇見與帝國兵戰鬥的郝里亞族，得知費雅貝魯根正遭受魔人族與帝國兵侵略。前往荷魯夏帝國的始將得知『他們』的計畫……！？","巴哈姆特動畫瘋","木棉花YouTube","巴哈姆特動畫瘋","木棉花YouTube","7.02","185K","anime_data/images/平凡職業造就世界最強 第三季.jpg"
"https://static.acgsecrets.hk/img/e8/e81be16a3a9153beda42076ea89a74e9/44cbd08be9b3a2636aacae66f5128ce100351fb1ae9ad2a8f0bdeecd099e6186.jpg","在地下城尋求邂逅是否搞錯了什麼 第五季","動作","冒險","奇幻","其他名稱：Dungeon ni Deai wo Motomeru no wa Machigatteiru no Darou ka V: Hoojou no Megami-hen、Is It Wrong to Try to Pick Up Girls in a Dungeon? V: Goddess of Fertility Arc、s It Wrong to Try to Pick Up Girls in a Dungeon? 5th Season、在地下城寻求邂逅是否搞错了什么 第五季","『致貝爾先生，請在這次的女神祭和我約會。』「「「「情、情書────！！」」」」「咦、咦咦咦咦咦咦咦咦咦咦咦咦咦咦咦咦咦！？」城市姑娘的一封信引發了軒然大波！隨著事態的發展，貝爾將在與輓歌祭（Elegia）統稱為「兩大祭」的「女神祭」裡跟希兒約會！想當然耳，這場約會不可能會安然落幕！最終演變成把「豐饒的女主人」的店員們、劍姬以及【芙蕾雅眷族】全數捲入的空前騷動！「一切都是為了女神──受死吧，女孩（小丫頭）。」另外還出現了不祥的預兆。以一名少女為中心，整座都市暗潮洶湧。這是由少女踏出軌跡、女神所紀錄下來的──【眷族神話（Familiar Myth）】──","巴哈姆特動畫瘋","viu.com","巴哈姆特動畫瘋","木棉花YouTube","7.89","197K","anime_data/images/在地下城尋求邂逅是否搞錯了什麼 第五季.jpg"
"https://static.acgsecrets.hk/img/45/45366c95790940886c0833eadb2a90cd/2005c2d54b4b6f9969f377a4a465f9982e8bc97edf5f61f4c2d9587dea30c8b4.jpg","妻子變成小學生。","喜劇","浪漫","","其他名稱：妻、小学生になる、Tsuma, Shougakusei ni Naru.、If My Wife Becomes an Elementary School Student.、妻子变成小学生。","１０年前，新島圭介痛失愛妻而一蹶不振。某天，一名自稱是新島妻子的小學生來到他面前。其言行舉止令新島相信她就是自己死去的妻子。曾經一度失去動力的人生，因為她的出現而再次轉動。深愛妻子的新島巴不得將她的事昭告天下，但是做為常識人的妻子怎麼可能讓他這麼做……。","巴哈姆特動畫瘋","Ani-One YouTube","巴哈姆特動畫瘋","Ani-One YouTube","7.53","64K","anime_data/images/妻子變成小學生。.jpg"
"https://static.acgsecrets.hk/img/29/2984427e14519138ee24222ce4776809/1ae2f768a98768f6e4bde67457ac594b41d779800f9566947a1df74873e2577e.jpg","暗殺女僕冥土小姐","喜劇","","","其他名稱：暗殺女僕冥土醬、女僕冥土小姐。、女僕冥土小姐、Kimi wa Meido-sama、You Are Ms. Servant、暗杀女仆冥土小姐、暗杀女仆冥土酱、女仆冥土小姐。、女仆冥土小姐","高中生・横谷人好的家裡突然出現了一位訪客。她是一位黑髮清秀，言詞謹慎的女僕。她的第一句話就是「希望你能雇用我」。她的前職是「殺手」，特技是「暗殺」，對於家務完全是個新手，是個「笨手笨腳的女孩」。從這場命運的相遇開始，與女僕在同一屋簷下的共同生活就此開始…！？漸漸地，不懂感情的她的內心開始搖曳──。","巴哈姆特動畫瘋","Ani-One YouTube","巴哈姆特動畫瘋","Ani-One YouTube","7.06","129K","anime_data/images/暗殺女僕冥土小姐.jpg"
"https://static.acgsecrets.hk/img/46/46527ee3cdd54eb864dfa35008d6891d/1ab9c2a2ce2d6e2229c33f8f96580ec5b2c89ce1bcbba225ccae37af73d54b0f.jpg","Acro Trip 頂尖惡路","喜劇","奇幻","","其他名稱：Acro Trip","來探訪祖父的「地図子」遇到了守護城市的魔法少女・ベリーブロッサム，然後立刻迷上了她。但是，敵方的邪惡組織「フォッサマグナ」的首領・クロマ的攻擊實在是太單調，兩人間的戰鬥毫無看頭。地図子希望看到更多ベリー的活躍，心中的不滿越來越多⋯⋯。「我希望魔法少女能更加閃耀……讓她受壓，讓她苦戰！」這種欲望（？）將內向的少女引向了邪惡的道路——","巴哈姆特動畫瘋","回歸線YouTube","巴哈姆特動畫瘋","回歸線YouTube","6.72","23K","anime_data/images/Acro Trip 頂尖惡路.jpg"
"https://static.acgsecrets.hk/img/dc/dcfd1e6b690b9d02e18b434f357c8445/b19d04f93c58eb34b22002b245d5356c3779f808fe39ab683b531090e035fbe3.jpg","當不成魔法師的女孩","奇幻","浪漫","","其他名稱：魔法使いになれなかった女の子の話、沒能成為魔法師的女孩子的故事、沒能成為魔法師的女孩子、Mahoutsukai ni Narenakatta Onnanoko no Hanashi.、Story of a Girl that was Unable to Become a Mage.、没能成为魔法使的女孩子、当不成魔法师的女孩、没能成为魔法师的女孩子的故事","「魔法師呀，我，沒有遵守承諾……」對魔法師充滿嚮往的天然少女クルミ＝ミライ，與家族內魔法師輩出的名門千金ユズ＝エーデル。升讀レットラン魔法學校＜國家魔法師培養專門學科（通稱：魔組）＞是成為魔法師的必要條件。然而，竟然考試失敗⋯⋯正當這樣想的時候？！外觀像孩子般的國家魔法師ミナミ＝スズキ現身並成為班主任，校園生活急速變化！背後有古怪的同學、可疑的社團⋯⋯這所學校隱藏的秘密是什麼？！魔法師呀，我在＜普通科一組＞裡面，能成為魔法師，嗎⋯⋯？夢想破滅的兩個性格截然不同的少女的青春＊魔法學園奇幻故事！","巴哈姆特動畫瘋","Ani-One YouTube","巴哈姆特動畫瘋","Ani-One YouTube","6.17","17K","anime_data/images/當不成魔法師的女孩.jpg"
"https://static.acgsecrets.hk/img/ea/ea59f2ea17608bd16d3081784b3a5f1e/844fe3a2fd08179ad6917ac59eac0cd3730ee5e6bce4a1d4a6e014afc5c609dd.jpg","魔法光源股份有限公司","動作","喜劇","","其他名稱：柔光魔女股份有限公司、Kabushikigaisha Magi-Lumière、Magilumiere Co. Ltd.","〝魔法少女〞──這是個任誰都會憧憬的「職業」。在求職活動中辛苦奮戰的女大學生・櫻木花奈，在面試地點被捲入怪異事件。花奈幫助了前來剷除怪異的魔法少女・越谷，並以此為契機，作為魔法少女進入招募應屆生的新創企業『魔法光源股份有限公司』…！？","Amazon Prime Video","Amazon Prime Video","","","6.96","32K","anime_data/images/魔法光源股份有限公司.jpg"
"https://static.acgsecrets.hk/img/c0/c0ed5ce4a83169f569c5053366391ee9/992e37432e58fa3f8987681a58e52e07392d9f2162cc0a163b484fbfa4920635.jpg","重啟人生的千金小姐正在攻略龍帝陛下","喜劇","奇幻","浪漫","其他名稱：重生大小姐正在攻略龍帝殿下、Yarinaoshi Reijou wa Ryuutei Heika wo Kouryakuchuu、The Do-Over Damsel Conquers the Dragon Emperor、重启人生的千金小姐正在攻略龙帝陛下、重生大小姐正在攻略龙帝殿下","身為千金小姐的吉兒，遭到未婚夫王太子下令處決。在她即將死亡的瞬間，時間卻回到六年前訂下婚約的那場派對中。為了避開毀滅性發展的路線，她臨時起意向身後的人求婚，沒想到那人居然是最大的敵人──哈迪斯皇帝！知道他未來會墮落至暗黑之路……吉兒慌張地撤回婚約，即使如此，哈迪斯還是喜孜孜地將她帶回城中，並為她做飯。胃袋被緊緊抓住的吉兒下定決心，「我一定會讓您重新做人──不，會讓您幸福！」於是，人生重啟！","Crunchyroll","Crunchyroll","","","7.01","96K","anime_data/images/重啟人生的千金小姐正在攻略龍帝陛下.jpg"
"https://static.acgsecrets.hk/img/d5/d58aa391d09051322c7bac8c7bdebd8a/784c96aa92a59630b1436f0127cd138e794e6f56259c335d40937180ebaf2d15.jpg","成為名留歷史的壞女人吧","喜劇","奇幻","浪漫","其他名稱：成爲名垂青史的惡役千金吧、Rekishi ni Nokoru Akujo ni Naru zo、I'll Become a Villainess That Will Go Down in History、成为名留历史的坏女人吧、成为名垂青史的恶役千金吧","「我討厭只說漂亮話的世界！我要成為名留歷史的壞女人!!」最討厭女主角常見的「好孩子」發言設定的我，轉生到最喜歡的女性向戀愛遊戲中，成了裡頭的反派千金！既然如願以償地轉生，就得成為能夠名留歷史、世上最出色的壞女人！","Crunchyroll","Crunchyroll","","","7.33","120K","anime_data/images/成為名留歷史的壞女人吧.jpg"
"https://static.acgsecrets.hk/img/b7/b73f6410f14a00a8dbf0042fae9399e9/9af0a9eba03fdafd4421f9381048991f4428f3d33b33db91835090b8794cb55c.jpg","魔王2099","動作","奇幻","科幻","其他名稱：Maou 2099、DEMON LORD 2099","統合曆2099年——新宿市。在這個發展到了極致的未來都市中，傳說中的魔王・ベルトール再度降臨。巨大都市國家的燦爛繁榮以及……其背後隱藏的慘烈的“闇”。為了支配新的世界，魔王將會躍動未來！","巴哈姆特動畫瘋","viu.com","巴哈姆特動畫瘋","","7.43","126K","anime_data/images/魔王2099.jpg"
"https://static.acgsecrets.hk/img/af/af495e12530512950e9490904f58f1f3/0ec90fe0b5ebb18c45f4005717acd0b20294978e3bc94fe73e5d866aba63bcc1.jpg","結緣甘神神社","喜劇","浪漫","","其他名稱：緣結甘神家、甘神家的連理枝、Amagami-san Chi no Enmusubi、Toggle the table of contents Tying the Knot with an Amagami Sister、甘神家的连理枝、缘结甘神家、结缘甘神神社","在兒童養護設施長大，以考上京都大學醫學系為目標的高中生：上終瓜生被甘神神社的宮司收留，來到神社借住。本來只是想要一個能唸書的環境，沒想到借住的條件竟然是「入贅繼承神社」！而結婚的候補對象就是宮司的孫女，神社的美女巫女三姊妹！早熟的朝姬、態度尖銳的夕奈、冒失單純的夜重，與個性迥異的三姊妹相處，讓瓜生的生活變得波瀾萬丈…","巴哈姆特動畫瘋","巴哈姆特動畫瘋","","","7.55","98K","anime_data/images/結緣甘神神社.jpg"
"https://static.acgsecrets.hk/img/11/1110054bee08522266d9cb554a53ad58/bb43eab3e556a13755fb50a05d7c12ac49cadbaac441b7ea67a42a29aa5c7fa1.jpg","去參加聯誼，卻發現完全沒有女生在場","喜劇","浪漫","","其他名稱：到了聯誼會上發現連一個女生都沒有、去聯誼卻發現沒有女生、Goukon ni Ittara Onna ga Inakatta Hanashi、How I Attended an All-Guy's Mixer、去参加联谊，却发现完全没有女生在场、到了联谊会上发现连一个女生都没有、去联谊却发现没有女生","大學生常盤受修同一門課的蘇芳同學邀約，邀請他找兩個好友一起進行三對三聯誼。三個男生滿懷期待地到了居酒屋，結果看到座位上只有三個帥哥在等著…","巴哈姆特動畫瘋","巴哈姆特動畫瘋","愛奇藝","","7.39","63K","anime_data/images/去參加聯誼，卻發現完全沒有女生在場.jpg"
"https://static.acgsecrets.hk/img/44/4483b88a08e6e826d702943f541c6aa3/c6220a43e5071680dda7976ef9e9da5587d916f868fdfda050795acba8a44804.jpg","聽說你們要結婚！？","浪漫","","","其他名稱：真的要結婚嗎？！、Kekkon suru tte, Hontou desu ka、365 Days to the Wedding、真的要结婚吗？！、听说你们要结婚！？","大原拓也與本城寺莉香是住在首都圈內的上班族。雖然他們都不擅長與人交往，不過收留了一隻流浪貓的拓也跟喜歡研究地圖的莉香，都過著屬於自己的幸福生活……因應嚴峻的疫情，兩人工作的旅行社決定到西伯利亞駐點，而公司上層決定外派的人選會優先從單身者之中選出。為了不要被流放到寒冷遙遠的西伯利亞，為了守護最心愛的單身日常生活，兩人決定要假裝結婚。然而結婚的消息傳到同事耳中之後，大家的祝福與發問反而成了巨大的壓力以及破綻。所以莉香再次提議要與拓也一起編造愛情經歷，假造兩人真的是情侶的證據。於是他們開始像一般情侶一樣約會、半同居。","巴哈姆特動畫瘋","巴哈姆特動畫瘋","","","7.12","112K","anime_data/images/聽說你們要結婚！？.jpg"
"https://static.acgsecrets.hk/img/b9/b9676a32c2da1692258abb30f30df172/6284d24df7984c4d0c0867ac7a832dbecd00e082272cff409d15d8b4849442ec.jpg","妖怪學校的菜鳥老師！","喜劇","奇幻","","其他名稱：妖怪學校的新人教師、Youkai Gakkou no Sensei Hajimemashita!、A Terrified Teacher at Ghoul School!、I Started Being a Teacher for a Youkai School!、妖怪学校的新人教师、妖怪学校的菜鸟老师！","安倍晴明是一個性格軟弱的菜鳥老師。好不容易成為憧憬以久的老師，但卻也高興不了多久！因為他原本就已經很膽小了，這次前去赴任的居然還是一所滿是妖怪的學校…","巴哈姆特動畫瘋","Ani-One YouTube","巴哈姆特動畫瘋","Ani-One YouTube","7.28","42K","anime_data/images/妖怪學校的菜鳥老師！.jpg"
"https://static.acgsecrets.hk/img/f0/f03ba5edb59cdef09535546018e0a7d7/1453a6417c6ac6666476953f561e6a8b41fcc48847b8a4e83e08d5a7edf1ba8d.jpg","Negative Positive Angler","","","","其他名稱：悲喜漁生、負正釣魚、NegaPosi Angler、悲喜渔生、负正钓鱼","背負著巨額債務，還被醫生宣告只剩下兩年壽命的大學生，佐々木常宏。過著壓抑的日子的常宏，有天被債主追趕而墮海後，被喜歡釣魚的少女ハナ和她的釣魚夥伴貴明等人救起。在ハナ的建議下，常宏體驗了人生中的第一次釣魚，並與那些釣魚夥伴們結成朋友。他也開始在ハナ和貴明工作的便利店打工。雖然對於複雜的釣魚術語和生餌的味道感到困擾，但他逐漸對釣魚產生了興趣。手中傳來的感覺，是生活的真實感──。常宏一直往下沉、只能仰望世界的人生，並不會那麼輕易改變。但是他通過釣魚，找到的東西是……？","Bilibili","Bilibili","Bilibili","","7.37","66K","anime_data/images/Negative Positive Angler.jpg"
"https://static.acgsecrets.hk/img/7c/7cf338ac38d4728dff985c2d99521861/f8f7e05f03424ff61885e2c1f9615ede0580da00c99d2d1acea38bc842034223.jpg","再見龍生，你好人生","動作","冒險","奇幻","其他名稱：さようなら竜生, こんにちは人生、Sayounara Ryuusei, Konnichiwa Jinsei、Goodbye, Dragon Life、再见龙生，你好人生","曾經度過悠久歲月的最強最古的龍，自願地被勇者擊敗，卻驚覺自己已經轉世成為邊境的村民ドラン。他全心投入農業，為了獲得食物去狩獵動物——在過著簡樸但溫馨的邊境生活中，ドラン的心充滿了在龍生中無法體驗的喜悅。就在某一天，當他在調查村子附近的森林時，強大的魔界軍隊出現在他面前。為了防止他們襲擊自己的村莊，ドラン與半人半蛇的美少女ラミア、以及傾城的美人劍士共同戰鬥，然後釋放出他隱藏的龍種魔力！","巴哈姆特動畫瘋","回歸線YouTube","巴哈姆特動畫瘋","回歸線YouTube","6.34","86K","anime_data/images/再見龍生，你好人生.jpg"
"https://static.acgsecrets.hk/img/d8/d80c9f6deec3be1f6e61285a81fe890f/a9c15ff0b9d2c88ca7a699d9f598a37528527ddbbc013ff6cd879b197b3e2b53.jpg","精靈幻想記 第二季","動作","冒險","戲劇","其他名稱：Seirei Gensouki 2nd Season、Mythical Spirit Chronicles 2nd Season、精灵幻想记 第二季","利歐成功救出瑟莉亞，使她不必被迫與大貴族政治聯姻後，為了補足物資及達成最初目的──蒐集關於【勇者召喚】的情報，一行人造訪大城市阿曼多。旅途中，由於瑟莉亞想要向父親報平安，為了替她實現心願，利歐嘗試潛入庫列爾伯爵家宅邸！另一方面，貴族大小姐莉賽蘿黛前往出席瑟莉亞的婚禮，卻在返回阿曼多的歸途中，與貝爾托姆王國勇者‧坂田、公主芙蘿菈一起被捲入一場意外的糾紛!?","巴哈姆特動畫瘋","木棉花YouTube","巴哈姆特動畫瘋","木棉花YouTube","6.87","185K","anime_data/images/精靈幻想記 第二季.jpg"
"https://static.acgsecrets.hk/img/45/454d22ac9d40266e7f7d4fdc80e673ab/5a4335b3a34ce0d5cabc18a5d5064ef0a1ac43f03a390b52509becc42e15ea21.jpg","藍色監獄 第2季","運動","","","其他名稱：ブルーロック VS. U-20 JAPAN、BLUE LOCK Season 2、蓝色监狱 第2季","主張自己的足球！在戰場（球場）上，你究竟能做些什麼？成功第二次選拔過關斬將的攻擊手，共有35名！眾人即將以「藍色監獄（BLUE LOCK）」的存續為賭注，傾全力挑戰與U-20日本代表隊的決戰！為了選出「藍色監獄（BLUE LOCK）」先發陣容11人，「適性測驗（TRYOUT）」正式開幕！潔能否超越前6名的FW（前鋒），成功主張自己的存在？進入選拔的關鍵是「共存」與「主張」！","巴哈姆特動畫瘋","Ani-One YouTube","Netflix","愛奇藝","7.55","300K","anime_data/images/藍色監獄 第2季.jpg"
